Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN1144 | 1144 | Navy | Confirmed by the Senate by Voice Vote.
PN1141 | 1141 | Navy | Confirmed by the Senate by Voice Vote.
PN1147 | 1147 | Space Force | Confirmed by the Senate by Voice Vote.
PN1146 | 1146 | Navy | Confirmed by the Senate by Voice Vote.
PN1149 | 1149 | Air Force | Confirmed by the Senate by Voice Vote.
PN1150 | 1150 | Air Force | Confirmed by the Senate by Voice Vote.
PN1151-1 | 1151 | Air Force | Confirmed by the Senate by Voice Vote.
PN1154 | 1154 | Air Force | Confirmed by the Senate by Voice Vote.
PN1155 | 1155 | Air Force | Confirmed by the Senate by Voice Vote.
PN1152 | 1152 | Air Force | Confirmed by the Senate by Voice Vote.
PN1156 | 1156 | Air Force | Confirmed by the Senate by Voice Vote.
PN1157 | 1157 | Air Force | Confirmed by the Senate by Voice Vote.
PN1158 | 1158 | Army | Confirmed by the Senate by Voice Vote.
PN1159 | 1159 | Army | Confirmed by the Senate by Voice Vote.
PN1160 | 1160 | Army | Confirmed by the Senate by Voice Vote.
PN1161 | 1161 | Army | Confirmed by the Senate by Voice Vote.
PN1162 | 1162 | Army | Confirmed by the Senate by Voice Vote.
PN1163 | 1163 | Navy | Confirmed by the Senate by Voice Vote.
PN1164 | 1164 | Navy | Confirmed by the Senate by Voice Vote.
PN1165 | 1165 | Navy | Confirmed by the Senate by Voice Vote.
PN1169 | 1169 | Navy | Confirmed by the Senate by Voice Vote.
PN1170 | 1170 | Navy | Confirmed by the Senate by Voice Vote.
PN1166 | 1166 | Navy | Confirmed by the Senate by Voice Vote.
PN1167 | 1167 | Navy | Confirmed by the Senate by Voice Vote.
PN1168 | 1168 | Navy | Confirmed by the Senate by Voice Vote.
PN1173 | 1173 | Space Force | Confirmed by the Senate by Voice Vote.
PN1171 | 1171 | Navy | Confirmed by the Senate by Voice Vote.
PN1172 | 1172 | Navy | Confirmed by the Senate by Voice Vote.
PN1182 | 1182 | Foreign Service | Confirmed by the Senate by Voice Vote.
PN1183 | 1183 | Foreign Service | Confirmed by the Senate by Voice Vote.
PN1184 | 1184 | Foreign Service | Confirmed by the Senate by Voice Vote.
PN1186 | 1186 | Foreign Service | Confirmed by the Senate by Voice Vote.
PN1185 | 1185 | Foreign Service | Confirmed by the Senate by Voice Vote.
PN1208 | 1208 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1212 | 1212 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1213 | 1213 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1209 | 1209 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1211 | 1211 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1210 | 1210 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1215 | 1215 | Space Force | Received in the Senate and referred to the Committee on Armed Services.
PN1217 | 1217 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1214 | 1214 | Space Force | Received in the Senate and referred to the Committee on Armed Services.
PN1219 | 1219 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1217 | 1217 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1216 | 1216 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1224 | 1224 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1222 | 1222 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1220 | 1220 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1221 | 1221 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1223 | 1223 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1228 | 1228 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1229 | 1229 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1225 | 1225 | Marine Corps | Received in the Senate and referred to the Committee on Armed Services.
PN1227 | 1227 | Marine Corps | Received in the Senate and referred to the Committee on Armed Services.
PN1226 | 1226 | Marine Corps | Received in the Senate and referred to the Committee on Armed Services.
PN1230 | 1230 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1233 | 1233 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1235 | 1235 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1234 | 1234 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1231 | 1231 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1236 | 1236 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1232 | 1232 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1239 | 1239 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1241 | 1241 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1238 | 1238 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1237 | 1237 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1240 | 1240 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1242 | 1242 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1243 | 1243 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1245 | 1245 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1244 | 1244 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1246 | 1246 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1092 | 1092 | Office of the Director of National Intelligence | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 211.
PN730-20 | 730 | Department of Housing and Urban Development | Committee on Banking, Housing, and Urban Affairs. Hearings held.
PN937-10 | 937 | Department of Commerce | Committee on Banking, Housing, and Urban Affairs. Hearings held.
PN999-5 | 999 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 49 - 44. Record Vote Number: 209.
PN999-2 | 999 | The Judiciary | Placed on Senate Executive Calendar. Calendar No. 901.
PN999-6 | 999 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 48 - 47. Record Vote Number: 208.
PN1079 | 1079 | Bureau of Consumer Financial Protection | Committee on Banking, Housing, and Urban Affairs. Hearings held.
PN1022-5 | 1022 | Department of Health and Human Services | Received in the Senate and referred to the Committee on Finance.
PN712-8 | 712 | Air Force | Placed on Senate Executive Calendar. Calendar No. 876. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN852-4 | 852 | United States Postal Service | Placed on Senate Executive Calendar. Calendar No. 839. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN852-1 | 852 | United States Postal Service | Placed on Senate Executive Calendar. Calendar No. 838. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN938-1 | 938 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 49 - 46. Record Vote Number: 202.
PN961-5 | 961 | Department of State | Placed on Senate Executive Calendar. Calendar No. 851. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN999-3 | 999 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 62 - 36. Record Vote Number: 204.
PN961-6 | 961 | Department of State | Placed on Senate Executive Calendar. Calendar No. 852. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN1142 | 1142 | Navy | Placed on Senate Executive Calendar. Calendar No. 893. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN851-8 | 851 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 48. Record Vote Number: 201.
PN1201-2 | 1201 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1201-4 | 1201 | Department of State | Received in the Senate and referred to the Committee on Foreign Relations.
PN1201-5 | 1201 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1201-3 | 1201 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1201-6 | 1201 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1202 | 1202 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN1203 | 1203 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1201-7 | 1201 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN1205 | 1205 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1204 | 1204 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1206 | 1206 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1207 | 1207 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1187 | 1187 | Department of Homeland Security | Received in the Senate and referred to the Committee on Homeland Security and Governmental Affairs.
PN1188 | 1188 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1189 | 1189 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1194 | 1194 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1190 | 1190 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1191 | 1191 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1193 | 1193 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1192 | 1192 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1196 | 1196 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1195 | 1195 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1197 | 1197 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1198 | 1198 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1199 | 1199 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN1200 | 1200 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN701 | 701 | Air Force | Confirmed by the Senate by Voice Vote.
PN593 | 593 | Army | Confirmed by the Senate by Voice Vote.
PN770-11 | 770 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN706 | 706 | Army | Confirmed by the Senate by Voice Vote.
PN803 | 803 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN786-1 | 786 | United States International Trade Commission | Confirmed by the Senate by Voice Vote.
PN786-3 | 786 | United States International Trade Commission | Confirmed by the Senate by Voice Vote.
PN939 | 939 | Air Force | Confirmed by the Senate by Voice Vote.
PN969-2 | 969 | Air Force | Confirmed by the Senate by Voice Vote.
PN974 | 974 | Army | Confirmed by the Senate by Voice Vote.
PN980 | 980 | Navy | Confirmed by the Senate by Voice Vote.
PN981 | 981 | Navy | Confirmed by the Senate by Voice Vote.
PN982 | 982 | Navy | Confirmed by the Senate by Voice Vote.
PN983 | 983 | Navy | Confirmed by the Senate by Voice Vote.
PN984 | 984 | Navy | Confirmed by the Senate by Voice Vote.
PN985 | 985 | Navy | Confirmed by the Senate by Voice Vote.
PN986 | 986 | Navy | Confirmed by the Senate by Voice Vote.
PN987 | 987 | Navy | Confirmed by the Senate by Voice Vote.
PN988 | 988 | Navy | Confirmed by the Senate by Voice Vote.
PN989 | 989 | Navy | Confirmed by the Senate by Voice Vote.
PN990-1 | 990 | Navy | Confirmed by the Senate by Voice Vote.
PN990-2 | 990 | Navy | Placed on Senate Executive Calendar. Calendar No. DESK.
PN991 | 991 | Navy | Confirmed by the Senate by Voice Vote.
PN992 | 992 | Navy | Confirmed by the Senate by Voice Vote.
PN993 | 993 | Navy | Confirmed by the Senate by Voice Vote.
PN995 | 995 | Navy | Confirmed by the Senate by Voice Vote.
PN994 | 994 | Navy | Confirmed by the Senate by Voice Vote.
PN996 | 996 | Navy | Confirmed by the Senate by Voice Vote.
PN999-1 | 999 | The Judiciary | Placed on Senate Executive Calendar. Calendar No. 828.
PN998 | 998 | Navy | Confirmed by the Senate by Voice Vote.
PN997 | 997 | Navy | Confirmed by the Senate by Voice Vote.
PN999-4 | 999 | The Judiciary | Placed on Senate Executive Calendar. Calendar No. 830.
PN1001 | 1001 | Air Force | Confirmed by the Senate by Voice Vote.
PN1002 | 1002 | Army | Confirmed by the Senate by Voice Vote.
PN1003-1 | 1003 | Army | Confirmed by the Senate by Voice Vote.
PN1004 | 1004 | Navy | Confirmed by the Senate by Voice Vote.
PN1006 | 1006 | Navy | Confirmed by the Senate by Voice Vote.
PN1007 | 1007 | Navy | Confirmed by the Senate by Voice Vote.
PN1008 | 1008 | Navy | Confirmed by the Senate by Voice Vote.
PN1009 | 1009 | Navy | Confirmed by the Senate by Voice Vote.
PN1005 | 1005 | Navy | Confirmed by the Senate by Voice Vote.
PN1013 | 1013 | Army | Confirmed by the Senate by Voice Vote.
PN1010 | 1010 | Navy | Confirmed by the Senate by Voice Vote.
PN1014 | 1014 | Army | Confirmed by the Senate by Voice Vote.
PN1015-1 | 1015 | Army | Confirmed by the Senate by Voice Vote.
PN1015-2 | 1015 | Army | Placed on Senate Executive Calendar. Calendar No. DESK.
PN1016 | 1016 | Army | Confirmed by the Senate by Voice Vote.
PN1017-1 | 1017 | Army | Confirmed by the Senate by Voice Vote.
PN1018 | 1018 | Navy | Confirmed by the Senate by Voice Vote.
PN1017-2 | 1017 | Army | Placed on Senate Executive Calendar. Calendar No. DESK.
PN1020 | 1020 | Navy | Confirmed by the Senate by Voice Vote.
PN1019 | 1019 | Navy | Confirmed by the Senate by Voice Vote.
PN1022-30 | 1022 | United States International Trade Commission | Confirmed by the Senate by Voice Vote.
PN1022-26 | 1022 | United States International Trade Commission | Confirmed by the Senate by Voice Vote.
PN1022-35 | 1022 | United States International Trade Commission | Confirmed by the Senate by Voice Vote.
PN1023 | 1023 | Army | Confirmed by the Senate by Voice Vote.
PN1024 | 1024 | Army | Confirmed by the Senate by Voice Vote.
PN1025 | 1025 | Army | Confirmed by the Senate by Voice Vote.
PN1029-1 | 1029 | Navy | Confirmed by the Senate by Voice Vote.
PN1026 | 1026 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN1027 | 1027 | Space Force | Confirmed by the Senate by Voice Vote.
PN1029-2 | 1029 | Navy | Placed on Senate Executive Calendar. Calendar No. DESK.
PN1031 | 1031 | Navy | Confirmed by the Senate by Voice Vote.
PN1030 | 1030 | Navy | Confirmed by the Senate by Voice Vote.
PN1032 | 1032 | Navy | Confirmed by the Senate by Voice Vote.
PN1034 | 1034 | Navy | Confirmed by the Senate by Voice Vote.
PN1033 | 1033 | Navy | Confirmed by the Senate by Voice Vote.
PN1036 | 1036 | Navy | Confirmed by the Senate by Voice Vote.
PN1037 | 1037 | Navy | Confirmed by the Senate by Voice Vote.
PN1038 | 1038 | Navy | Confirmed by the Senate by Voice Vote.
PN1035 | 1035 | Navy | Confirmed by the Senate by Voice Vote.
PN1041 | 1041 | Navy | Confirmed by the Senate by Voice Vote.
PN1042 | 1042 | Navy | Confirmed by the Senate by Voice Vote.
PN1039 | 1039 | Navy | Confirmed by the Senate by Voice Vote.
PN1040 | 1040 | Navy | Confirmed by the Senate by Voice Vote.
PN1043 | 1043 | Navy | Confirmed by the Senate by Voice Vote.
PN1044 | 1044 | Navy | Confirmed by the Senate by Voice Vote.
PN1048 | 1048 | Air Force | Confirmed by the Senate by Voice Vote.
PN1049 | 1049 | Air Force | Confirmed by the Senate by Voice Vote.
PN1047 | 1047 | Air Force | Confirmed by the Senate by Voice Vote.
PN1046 | 1046 | Air Force | Confirmed by the Senate by Voice Vote.
PN1045 | 1045 | Navy | Confirmed by the Senate by Voice Vote.
PN1053 | 1053 | Navy | Confirmed by the Senate by Voice Vote.
PN1054 | 1054 | Navy | Confirmed by the Senate by Voice Vote.
PN1056 | 1056 | Navy | Confirmed by the Senate by Voice Vote.
PN1050 | 1050 | Air Force | Confirmed by the Senate by Voice Vote.
PN1052 | 1052 | Army | Confirmed by the Senate by Voice Vote.
PN1055 | 1055 | Navy | Confirmed by the Senate by Voice Vote.
PN1060 | 1060 | Army | Confirmed by the Senate by Voice Vote.
PN1057 | 1057 | Navy | Confirmed by the Senate by Voice Vote.
PN1059 | 1059 | Air Force | Confirmed by the Senate by Voice Vote.
PN1058 | 1058 | Air Force | Confirmed by the Senate by Voice Vote.
PN1061-1 | 1061 | Army | Confirmed by the Senate by Voice Vote.
PN1063 | 1063 | Army | Confirmed by the Senate by Voice Vote.
PN1062 | 1062 | Army | Confirmed by the Senate by Voice Vote.
PN1064 | 1064 | Army | Confirmed by the Senate by Voice Vote.
PN1065-1 | 1065 | Army | Confirmed by the Senate by Voice Vote.
PN1066 | 1066 | Army | Confirmed by the Senate by Voice Vote.
PN1067 | 1067 | Army | Confirmed by the Senate by Voice Vote.
PN1069 | 1069 | Army | Confirmed by the Senate by Voice Vote.
PN1068 | 1068 | Army | Confirmed by the Senate by Voice Vote.
PN1070 | 1070 | Army | Confirmed by the Senate by Voice Vote.
PN1071 | 1071 | Army | Confirmed by the Senate by Voice Vote.
PN1072-1 | 1072 | Army | Confirmed by the Senate by Voice Vote.
PN1073 | 1073 | Navy | Confirmed by the Senate by Voice Vote.
PN1074 | 1074 | Navy | Confirmed by the Senate by Voice Vote.
PN1075 | 1075 | Navy | Confirmed by the Senate by Voice Vote.
PN1076 | 1076 | Space Force | Confirmed by the Senate by Voice Vote.
PN1080 | 1080 | Air Force | Confirmed by the Senate by Voice Vote.
PN1081 | 1081 | Air Force | Confirmed by the Senate by Voice Vote.
PN1082 | 1082 | Air Force | Confirmed by the Senate by Voice Vote.
PN1083 | 1083 | Navy | Confirmed by the Senate by Voice Vote.
PN1084 | 1084 | Navy | Confirmed by the Senate by Voice Vote.
PN1085 | 1085 | Navy | Confirmed by the Senate by Voice Vote.
PN1086 | 1086 | Navy | Confirmed by the Senate by Voice Vote.
PN1087 | 1087 | Navy | Confirmed by the Senate by Voice Vote.
PN1088 | 1088 | Navy | Confirmed by the Senate by Voice Vote.
PN1089 | 1089 | Navy | Confirmed by the Senate by Voice Vote.
PN1090 | 1090 | Navy | Confirmed by the Senate by Voice Vote.
PN930-4 | 930 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 197.
PN622-3 | 622 |  | Placed on Senate Executive Calendar. Calendar No. 767. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN622-4 | 622 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN622-6 | 622 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN622-7 | 622 | Coast Guard | Placed on Senate Executive Calendar. Calendar No. 819. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN658-1 | 658 |  | Placed on Senate Executive Calendar. Calendar No. 768. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN658-3 | 658 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN658-4 | 658 | Coast Guard | Placed on Senate Executive Calendar. Calendar No. 818. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN849 | 849 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN859-4 | 859 | Department of State | Received message of withdrawal of nomination from the President.
PN908 | 908 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN876 | 876 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN848 | 848 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN938-2 | 938 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 45. Record Vote Number: 194.
PN937-6 | 937 | Department of Defense | Committee on Armed Services. Hearings held.
PN909 | 909 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN1003-2 | 1003 | Army | Received in the Senate and referred to the Committee on Armed Services.
PN1022-29 | 1022 | United States International Trade Commission | Committee on Finance. Ordered to be reported favorably.
PN1127 | 1127 | Department of Justice | Received message of withdrawal of nomination from the President.
PN1179 | 1179 | Department of Health and Human Services | Received in the Senate and referred to the Committee on Finance.
PN1180-1 | 1180 | General Services Administration | Received in the Senate and referred to the Committee on Homeland Security and Governmental Affairs.
PN1180-2 | 1180 | Export-Import Bank of the United States | Received in the Senate and referred to the Committee on Banking, Housing, and Urban Affairs.
PN1180-3 | 1180 | Department of Health and Human Services | Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.
PN1181-3 | 1181 | The Judiciary | Received in the Senate and referred to the Committee on Veterans' Affairs.
